,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
,32,Sweden,"1,127,917",,"14,651 ",,"1,087,247",,"26,019",46,"110,876","1,440","11,757,024","1,155,737","10,172,752 ",Europe,96941,,,"2,558",
,33,Romania,"1,100,208",,"34,591 ",,"1,055,892",,"9,725",293,"57,640","1,812","11,537,894","604,468","19,087,675 ",Europe,175522,,,509,
,34,Israel,"1,082,981",,"7,086 ",,"989,507",,"86,388",675,"116,125",760,"19,256,766","2,064,847","9,326,000 ",Asia,"91,3160",,,"9,263",
,35,Portugal,"1,039,492",,"17,757 ",,"978,462",,"43,273",131,"102,292","1,747","17,054,320","1,678,249","10,161,970 ",Europe,105721,,,"4,258",
,36,Morocco,"866,968",,"12,749 ",,"800,664",,"53,555","1,124","23,168",341,"9,019,647","241,034","37,420,609 ",Africa,"432,9354",,,"1,431",
,37,Hungary,"812,531",,"30,059 ",,"777,646",,"4,826",13,"84,360","3,121","6,584,218","683,599","9,631,691 ",Europe,123201,,,501,
,38,Kazakhstan,"798,671","+4,880","9,495 ",+93,"691,480","+10,644","97,696",221,"41,950",499,"11,575,012","607,978","19,038,545 ",Asia,"242,0052",256,5,"5,131",
,39,Jordan,"798,091",,"10,422 ",,"776,163",,"11,506",574,"77,325","1,010","9,287,040","899,797","10,321,263 ",Asia,139901,,,"1,115",
,40,Switzerland,"782,861",,"10,998 ",,"706,721",,"65,142",258,"89,691","1,260","9,799,734","1,122,732","8,728,468 ",Europe,117941,,,"7,463",
,41,Serbia,"766,279",,"7,307 ",,"722,930",,"36,042",87,"88,116",840,"5,042,425","579,839","8,696,243 ",Europe,"111,1902",,,"4,145",
,42,Nepal,"764,295",,"10,770 ",,"719,336",,"34,189",,"25,693",362,"3,925,758","131,971","29,747,058 ",Asia,"392,7628",,,"1,149",
,43,UAE,"719,355",,"2,043 ",,"706,644",,"10,668",,"71,722",204,"75,035,930","7,481,365","10,029,711 ",Asia,"144,9090",,,"1,064",
,44,Austria,"690,153",,"10,775 ",,"663,461",,"15,917",142,"76,122","1,188","76,859,312","8,477,406","9,066,371 ",Europe,138410,,,"1,756",
,45,Tunisia,"666,168",,"23,538 ",,"618,115",,"24,515",507,"55,686","1,968","2,605,268","217,780","11,962,830 ",Africa,185085,,,"2,049",
,46,Cuba,"659,464",,"5,377 ",,"620,157",,"33,930",440,"58,264",475,"7,985,117","705,490","11,318,540 ",North America,"172,1051",,,"2,998",
,47,Lebanon,"603,288",,"8,061 ",,"555,063",,"40,164",54,"88,853","1,187","4,759,054","700,920","6,789,724 ",Asia,118421,,,"5,915",
,48,Greece,"590,832",,"13,669 ",,"540,433",,"36,730",346,"57,011","1,319","15,628,356","1,508,012","10,363,552 ",Europe,187581,,,"3,544",
,49,Georgia,"553,697",,"7,482 ",,"497,517",,"48,698",,"139,112","1,880","8,090,420","2,032,656","3,980,221 ",Asia,75320,,,"12,235",
,50,Saudi Arabia,"544,634",,"8,552 ",,"533,151",,"2,931",867,"15,365",241,"27,505,312","775,988","35,445,521 ",Asia,"654,1451",,,83,
,51,Ecuador,"502,146",,"32,296 ",,"443,880",,"25,970",759,"27,967","1,799","1,772,699","98,729","17,955,197 ",South America,3655610,,,"1,446",
,52,Bolivia,"491,340",+461,"18,473 ",+21,"436,496",+792,"36,371",220,"41,433","1,558","2,295,783","193,597","11,858,596 ",South America,246425,39,2,"3,067",
,53,Belarus,"483,231",,"3,791 ",,"475,898",,"3,542",,"51,159",401,"7,817,642","827,641","9,445,692 ",Europe,"202,4921",,,375,
,54,Guatemala,"475,548",,"12,007 ",,"412,698",,"50,843",5,"25,984",656,"2,210,997","120,810","18,301,445 ",North America,"381,5248",,,"2,778",
,55,Vietnam,"473,530",,"11,868 ",,"248,722",,"212,940",,"4,814",121,"16,083,797","163,519","98,360,149 ",Asia,"2088,2886",,,"2,165",
,56,Costa Rica,"466,574",,"5,523 ",,"374,630",,"86,421",456,"90,625","1,073","2,006,420","389,719","5,148,375 ",North America,119323,,,"16,786",
,57,Paraguay,"458,614",,"15,785 ",,"437,598",,"5,231",94,"63,391","2,182","1,778,698","245,857","7,234,673 ",South America,164584,,,723,
,58,Panama,"458,157",,"7,066 ",,"443,737",,"7,354",108,"104,271","1,608","3,677,348","836,922","4,393,896 ",North America,106221,,,"1,674",
,59,Bulgaria,"457,487",,"18,950 ",,"406,345",,"32,192",332,"66,425","2,751","4,250,708","617,181","6,887,295 ",Europe,153632,,,"4,674",
,60,Sri Lanka,"444,130",,"9,400 ",,"376,216",,"58,514",,"20,640",437,"4,855,036","225,626","21,518,054 ",Asia,"482,2894",,,"2,719",
,61,Azerbaijan,"428,736",,"5,677 ",,"370,002",,"53,057",,"41,845",554,"4,481,039","437,355","10,245,775 ",Asia,"241,8052",,,"5,178",
,62,Kuwait,"409,961",,"2,420 ",,"405,320",,"2,221",84,"94,371",557,"3,799,124","874,536","4,344,162 ",Asia,"111,7951",,,511,
,63,Myanmar,"402,640",,"15,490 ",,"353,811",,"33,339",,"7,343",282,"3,653,562","66,628","54,835,418 ",Asia,"1363,54015",,,608,
,64,Slovakia,"395,122",,"12,548 ",,"381,174",,"1,400",14,"72,330","2,297","3,325,957","608,845","5,462,731 ",Europe,144352,,,256,
,65,Uruguay,"385,078",,"6,034 ",,"377,868",,"1,176",13,"110,408","1,730","3,353,058","961,372","3,487,784 ",South America,95781,,,337,
,66,Croatia,"374,803",,"8,338 ",,"362,833",,"3,632",59,"91,961","2,046","2,554,090","626,667","4,075,675 ",Europe,114892,,,891,
,67,Ireland,"354,236",,"5,112 ",,"298,314",,"50,810",56,"70,817","1,022","6,415,912","1,282,644","5,002,098 ",Europe,149791,,,"10,158",
,68,Dominican Republic,"350,468",,"4,008 ",,"341,351",,"5,109",138,"31,934",365,"1,958,308","178,437","10,974,775 ",North America,"312,7386",,,466,
,69,Denmark,"346,518",,"2,584 ",,"331,499",,"12,435",25,"59,580",444,"81,221,077","13,965,074","5,816,015 ",Europe,"172,2510",,,"2,138",
,70,Palestine,"344,957",,"3,688 ",,"319,135",,"22,134",50,"65,840",704,"2,196,916","419,310","5,239,362 ",Asia,"151,4212",,,"4,225",
,71,Honduras,"341,518","+1,677","8,974 ",+42,"107,461",+178,"225,083",615,"33,853",890,"985,214","97,661","10,088,121 ",North America,"301,12410",166,4,"22,312",
,72,Venezuela,"336,088",,"4,039 ",,"320,400",,"11,649",681,"11,858",143,"3,359,014","118,518","28,341,800 ",South America,"847,0178",,,411,
,73,Libya,"310,637",,"4,263 ",,"222,420",,"83,954",,"44,503",611,"1,529,310","219,093","6,980,190 ",Africa,"221,6375",,,"12,027",
,74,Ethiopia,"309,351",,"4,692 ",,"278,062",,"26,597",620,"2,616",40,"3,246,694","27,450","118,275,094 ",Africa,"38225,20836",,,225,
,75,Oman,"302,393",,"4,068 ",,"292,038",,"6,287",52,"57,515",774,"1,550,000","294,809","5,257,635 ",Asia,"171,2923",,,"1,196",
,76,Lithuania,"299,532",,"4,569 ",,"281,207",,"13,756",106,"111,855","1,706","4,438,914","1,657,640","2,677,851 ",Europe,95861,,,"5,137",
,77,Egypt,"288,732",,"16,743 ",,"239,886",,"32,103",90,"2,761",160,"3,068,679","29,342","104,581,599 ",Africa,"3626,24634",,,307,
,78,Bahrain,"272,635",,"1,388 ",,"270,296",,951,1,"154,012",784,"5,951,437","3,361,985","1,770,215 ",Asia,"61,2750",,,537,
,79,Moldova,"268,105",,"6,406 ",,"257,672",,"4,027",127,"66,643","1,592","1,576,940","391,980","4,023,009 ",Europe,156283,,,"1,001",
,80,Slovenia,"267,962",,"4,450 ",,"257,752",,"5,760",19,"128,873","2,140","1,450,905","697,795","2,079,272 ",Europe,84671,,,"2,770",
,81,S. Korea,"255,401","+1,956","2,303 ",+11,"226,222","+1,903","26,876",409,"4,977",45,"13,223,515","257,664","51,320,715 ",Asia,"20122,2844",38,0.2,524,
,82,Armenia,"242,750",,"4,857 ",,"227,293",,"10,600",,"81,742","1,636","1,547,898","521,229","2,969,710 ",Asia,126112,,,"3,569",
,83,Kenya,"236,881",,"4,739 ",,"224,270",,"7,872",149,"4,295",86,"2,380,918","43,172","55,149,424 ",Africa,"23311,63723",,,143,
,84,Qatar,"232,910",,602 ,,"229,763",,"2,545",24,"82,951",214,"2,509,828","893,875","2,807,805 ",Asia,"124,6641",,,906,
,85,Mongolia,"221,351","+3,805",948 ,+4,"195,676","+2,570","24,727",192,"66,277",284,"3,647,780","1,092,219","3,339,789 ",Asia,"153,5231","1,139",1,"7,404",
,86,Bosnia and Herzegovina,"214,759",,"9,815 ",,"192,218",,"12,726",,"65,938","3,014","1,141,029","350,335","3,256,965 ",Europe,153323,,,"3,907",
,87,Zambia,"206,522",,"3,605 ",,"201,227",,"1,690",106,"10,880",190,"2,283,007","120,270","18,982,281 ",Africa,"925,2668",,,89,
,88,Algeria,"196,527",,"5,302 ",,"133,739",,"57,486",35,"4,389",118,"230,861","5,156","44,773,107 ",Africa,"2288,445194",,,"1,284",
,89,Nigeria,"193,013",,"2,480 ",,"179,000",,"11,533",11,910,12,"2,779,725","13,107","212,080,980 ",Africa,"1,09985,51776",,,54,
,90,North Macedonia,"177,399",,"5,964 ",,"156,650",,"14,785",,"85,154","2,863","1,164,177","558,821","2,083,274 ",Europe,123492,,,"7,097",
,91,Kyrgyzstan,"176,018",+142,"2,536 ",+4,"170,169",+102,"3,313",131,"26,471",381,"1,648,161","247,860","6,649,575 ",Asia,"382,6224",21,0.6,498,
,92,Norway,"161,814",,822 ,,"88,952",,"72,040",13,"29,578",150,"7,237,714","1,322,997","5,470,696 ",Europe,"346,6551",,,"13,168",
,93,Uzbekistan,"157,872",+736,"1,093 ",+5,"149,767",+494,"7,012",23,"4,639",32,"1,377,915","40,486","34,034,428 ",Asia,"21631,13925",22,0.1,206,
,94,Botswana,"156,927",,"2,261 ",,"148,519",,"6,147",1,"65,199",939,"1,645,029","683,465","2,406,894 ",Africa,"151,0651",,,"2,554",
,95,Afghanistan,"153,306",,"7,127 ",,"110,813",,"35,366","1,124","3,838",178,"751,978","18,824","39,948,324 ",Asia,"2615,60553",,,885,
,96,Albania,"147,369",,"2,501 ",,"134,276",,"10,592",3,"51,274",870,"1,059,689","368,700","2,874,126 ",Europe,"201,1493",,,"3,685",
